Test Name,pheno,contrast,estimate,SE,df,t.ratio,p.value
Jay Test 2,Lodging,N18-1575 - Checks,0.6025759964663087,0.215483501141804,55.60743421531468,2.796390411671329,0.10749888270104291
Jay Test 2,Lodging,N18-1577 - Checks,0.9707416154137735,0.21548350114180395,55.60743421531468,4.504946366055906,5.524888764968372e-4
Jay Test 2,Lodging,N18-1579 - Checks,0.7970518875941545,0.21548350114180403,55.60743421531468,3.698899838598945,0.00793173787719137
Jay Test 2,Lodging,N18-1586 - Checks,0.7346933976694667,0.21548350114180392,55.60743421531468,3.409511140186945,0.019306479629034534
Jay Test 2,Lodging,N18-1615 - Checks,0.5538862686466893,0.21548350114180398,55.60743421531488,2.5704347001592085,0.18710026995489115
Jay Test 2,Lodging,N18-1627 - Checks,0.29705188759415385,0.2154835011418039,55.60743421531429,1.3785365748195821,0.9526420822920936
Jay Test 2,Lodging,N18-1628 - Checks,1.1720518875941537,0.21548350114180398,55.60743421531468,5.439172286433463,1.9811558813476182e-5
Jay Test 2,Lodging,N18-1643 - Checks,0.4288862686466897,0.21548350114180398,55.60743421531468,1.9903438842143697,0.5706986754560266
Jay Test 2,Lodging,N18-1659 - Checks,0.7278590166169318,0.21548350114180392,55.60743421531468,3.377794646737001,0.021227142637296192
Jay Test 2,Lodging,N18-1661 - Checks,1.1791692887973122,0.21548350114180387,55.60743421531468,5.472202199004242,1.75541598395057e-5
Jay Test 2,Lodging,N18-1761 - Checks,0.14414832308276573,0.21548350114180398,55.60743421531468,0.6689529468332963,0.9999875404014018
Jay Test 2,Lodging,N18-1769 - Checks,0.24152777872200135,0.2154835011418039,55.60743421531429,1.1208643698575254,0.9930798043782842
Jay Test 2,Lodging,N18-1783 - Checks,0.6025759964663077,0.2154835011418039,55.60743421531429,2.796390411671326,0.10749888270104446
Jay Test 2,Lodging,N18-1796 - Checks,0.922051887594154,0.21548350114180395,55.60743421531468,4.278990654543785,0.0011937388334405385
Jay Test 2,Lodging,N18-1820 - Checks,0.87364517992516,0.21548350114180395,55.60743421531468,4.054348362152504,0.0025243143230118115
Jay Test 2,Oil (% dry basis),N09-09 - Checks,-1.191397233162903,0.2654440248879369,56.35385160349963,-4.488318144158181,5.747870809783562e-4
Jay Test 2,Oil (% dry basis),N18-1575 - Checks,-0.9788972331629018,0.26544402488793684,56.353851603499834,-3.68777271809439,0.008136698371090989
Jay Test 2,Oil (% dry basis),N18-1577 - Checks,-1.972647233162908,0.26544402488793684,56.353851603499834,-7.431499857628007,1.0349832990641517e-8
Jay Test 2,Oil (% dry basis),N18-1579 - Checks,0.38610276683709327,0.26544402488793684,56.35385160350003,1.4545543716800378,0.9276000801526878
Jay Test 2,Oil (% dry basis),N18-1586 - Checks,-0.5576171494118818,0.2775620257697973,63.08106493306701,-2.0089821288246212,0.5510677180101351
Jay Test 2,Oil (% dry basis),N18-1615 - Checks,0.4136027668371011,0.2654440248879368,56.35385160350003,1.558154367994205,0.88149042525503285
Jay Test 2,Oil (% dry basis),N18-1627 - Checks,-0.7326472331629019,0.2654440248879369,56.353851603499834,-2.760081842008707,0.1175093815203827
Jay Test 2,Oil (% dry basis),N18-1628 - Checks,-1.9026472331629063,0.26544402488793684,56.35385160350003,-7.167790776101107,2.8324123158007808e-8
Jay Test 2,Oil (% dry basis),N18-1643 - Checks,0.09735276683709931,0.26544402488793684,56.353851603499834,0.3667544103816199,0.9999999981240058
Jay Test 2,Oil (% dry basis),N18-1659 - Checks,-1.3038972331629024,0.26544402488793684,56.353851603499834,-4.912136310897832,1.2972947875189433e-4
Jay Test 2,Oil (% dry basis),N18-1661 - Checks,0.2598527668371032,0.2654440248879369,56.353851603499834,0.9789362067833541,0.9984203873185644
Jay Test 2,Oil (% dry basis),N18-1761 - Checks,-1.9663972331628985,0.2654440248879368,56.35385160350003,-7.407954403920216,1.1323082804715057e-8
Jay Test 2,Oil (% dry basis),N18-1769 - Checks,-1.9838972331629,0.26544402488793684,56.353851603499834,-7.473881674301943,8.804079243418528e-9
Jay Test 2,Oil (% dry basis),N18-1783 - Checks,-0.7176472331628987,0.26544402488793684,56.353851603499834,-2.703572753110075,0.135400327117559
Jay Test 2,Oil (% dry basis),N18-1796 - Checks,-1.231397233162904,0.26544402488793684,56.353851603499834,-4.63900904788784,3.405054987236644e-4
